name,feastDay,knownFor,patronOf,dates,origin,gender,traits,quotes,title,associatedDates,lived,bio,funFact
"St. Savva of Serbia","January 14","The first Archbishop of the autocephalous Serbian Orthodox Church and national hero of Serbia.","Serbia, students, education","c. 1174-1236","Serbia","Male","leadership; diplomacy; education; piety; wisdom","The soul is more precious than the body.","St. Savva of Serbia","","c. 1174-1236","Savva was a prince who secretly fled to Mount Athos to become a monk. He later returned to Serbia to establish its independent church, founded schools and hospitals, and negotiated peace between his brothers. He is considered the father of Serbian culture and identity.","He is credited with bringing 'European' education and law to medieval Serbia."
"St. David of Wales","March 1","The patron saint of Wales and a bishop who founded many monasteries known for their extreme austerity.","Wales, vegetarians, poets","c. 500-589","Wales","Male","piety; leadership; simplicity; eloquence; discipline","Be joyful, keep the faith, and do the little things.","St. David of Wales","","c. 500-589","David (Dewi Sant) was a prominent figure in the Celtic Church. He was known as 'The Waterman' (Aquaticus) because he and his monks drank only water and ate only bread and herbs. His final words to his followers, 'Do the little things', is a beloved Welsh proverb.","Legend says that while he was preaching to a large crowd, the ground he was standing on rose up to form a hill so everyone could see and hear him, and a white dove settled on his shoulder."
"St. Columba of Iona","June 9","The 'Apostle to the Picts', a powerful Irish abbot who founded the monastery of Iona and converted much of Scotland.","Scotland, Ireland, bookbinders, poets","521-597","Ireland/Scotland","Male","leadership; intellect; courage; missionary; artistic","I follow the King of Kings.","St. Columba of Iona","","521-597","Columba (Colum Cille) was a prince and a gifted scholar. After a conflict over a copied book led to a battle, he went into exile on the island of Iona. From there, he became a major cultural and religious force, establishing a network of monasteries and spreading the faith throughout the British Isles.","The first written account of a 'monster' in the River Ness (Loch Ness) comes from the life of St. Columba, who reportedly commanded the beast to stop and go back."
"St. Dunstan","May 19","Archbishop of Canterbury who revitalized English monasticism and served as a statesman under several kings.","goldsmiths, blacksmiths, locksmiths, musicians","c. 909-988","England","Male","leadership; artistic; discipline; justice; reform","The measure of love is to love without measure.","St. Dunstan","","c. 909-988","Dunstan was an artist, a musician, and a skilled metalworker before becoming a monk. He rose to become the most powerful religious leader in England, reforming the clergy and using his influence to bring stability to the country. He was also a noted bell-caster.","A famous legend says that Dunstan, while working at his forge, was tempted by the devil; Dunstan reportedly grabbed the devil's nose with his red-hot tongs."
"St. Perpetua","March 7","A young noblewoman and mother who kept a diary of her imprisonment and was martyred in Carthage for refusing to renounce her faith.","mothers, expectant mothers, ranchers, butchers","c. 181-203","North Africa","Female","courage; motherhood; faith; determination; sacrifice","I am a Christian, and I cannot be called by any other name.; We saw ourselves taken up from the flesh.; Stand fast in the faith, and love one another.","St. Perpetua","March 7","c. 181-203","St. Perpetua was a young, well-educated noblewoman from Carthage who was arrested during the persecution of Emperor Septimius Severus. Despite her father's pleas and her love for her infant son, she refused to renounce her faith. Her prison diary is one of the earliest known writings by a Christian woman and provides a vivid account of early Christian martyrdom.","Her prison diary, the 'Passion of Perpetua and Felicity,' is one of the oldest surviving texts written by a Christian woman."
"St. Felicity of Carthage","March 7","A slave and companion of St. Perpetua who gave birth in prison and was martyred alongside her mistress in the arena.","expectant mothers, barren women, death of children","d. 203","North Africa","Female","courage; endurance; faith; humility; sacrifice","What I suffer now, I suffer alone. But then, another will be in me who will suffer for me.; We were baptized in our own blood.; Christ gives strength to endure all things.","St. Felicity of Carthage","March 7","d. 203","St. Felicity was an enslaved woman who was arrested along with her mistress Perpetua and other catechumens in Carthage. She was eight months pregnant at the time of her arrest and gave birth to a daughter in prison just days before her martyrdom. Her bravery alongside Perpetua has made them inseparable symbols of Christian courage.","She feared she would not be martyred with her companions because Roman law forbade the execution of pregnant women, but she gave birth just in time."
"St. Paul Chong Hasang","September 20","A Korean lay catechist and seminarist martyred for his faith during the Joseon Dynasty persecutions.","Korean laity, catechists","1795-1839","Korea","Male","courage; intellectual; missionary; faith; leadership","Even if we die, we cannot betray the Lord of heaven whom we serve.; The truths of our faith surpass all the knowledge of this world.; I rejoice to die for God.","St. Paul Chong Hasang","September 20","1795-1839","St. Paul Chong Hasang was a Korean lay catechist whose father was one of the first Korean martyrs. He worked tirelessly to bring foreign missionaries into Korea and to organize the underground Catholic community. He was arrested, imprisoned, and eventually executed for his faith.","He made nine dangerous trips to Beijing, crossing the border illegally to seek priests and bishops for the Korean Church."
"St. Marguerite Bays","June 27","A Swiss laywoman and mystic who received the stigmata and lived a life of extraordinary prayer and charity as a simple seamstress.","seamstresses, lay people","1815-1879","Switzerland","Female","mysticism; humility; charity; devotion; simplicity","God does not ask great things of us, only small things with great love.; My life is prayer, and my prayer is my life.; Suffering accepted with love is a treasure.","St. Marguerite Bays","June 27","1815-1879","St. Marguerite Bays was a Swiss seamstress who lived a hidden life of extraordinary holiness. She was miraculously healed of intestinal cancer and received the stigmata, experiencing the wounds of Christ every Friday. Despite these mystical gifts, she continued her humble life of sewing, teaching catechism, and caring for the sick.","She received the stigmata on the same day the dogma of the Immaculate Conception was proclaimed in 1854."
"St. Alberto Hurtado","August 18","A Chilean Jesuit priest who founded a nationwide network of shelters for homeless children and championed workers' rights.","social workers, poor children, Chile","1901-1952","Chile","Male","charity; compassion; justice; leadership; courage","Christ has no body now on earth but yours.; Happy are those who give their lives for others.; Our house should be not a hotel for tourists but a home for Christ.","St. Alberto Hurtado","August 18","1901-1952","St. Alberto Hurtado was a Chilean Jesuit who dedicated his life to the poorest of the poor. He founded Hogar de Cristo, a network providing shelter, education, and care for homeless children across Chile. He also advocated for labor rights and wrote extensively on Catholic social teaching.","He drove around Santiago in a green pickup truck collecting homeless children off the streets, earning him the nickname 'the priest of the green truck.'"
"St. Peter To Rot","January 12","A Papuan catechist who was martyred by the Japanese during World War II for defending the sanctity of Christian marriage.","Papua New Guinea, catechists","1912-1945","Papua New Guinea","Male","courage; faith; leadership; conviction; sacrifice","I must fulfill my duty as a catechist.; Marriage is sacred and cannot be destroyed.; I am ready to die for my faith.","St. Peter To Rot","January 12","1912-1945","St. Peter To Rot was a catechist from the Tolai people of Papua New Guinea. During the Japanese occupation in World War II, he continued to lead his community in prayer and defended the sanctity of Christian marriage against the occupiers' attempts to impose polygamy. He was arrested and killed by lethal injection.","He was the first person from Papua New Guinea to be beatified, and Pope John Paul II beatified him during a visit to Port Moresby in 1995."
"St. Agnes Le Thi Thanh","July 12","A Vietnamese laywoman and mother who was martyred for sheltering priests during the Vietnamese persecutions.","Vietnamese mothers, persecuted Christians","1781-1841","Vietnam","Female","courage; motherhood; hospitality; faith; sacrifice","I would rather die than abandon my religion.; My children, remember to keep the faith.; God will provide for those I leave behind.","St. Agnes Le Thi Thanh","July 12","1781-1841","St. Agnes Le Thi Thanh was a Vietnamese mother of six who sheltered persecuted priests and missionaries in her home. She was arrested, brutally tortured, and eventually executed for refusing to trample on a crucifix. She is one of the 117 Vietnamese Martyrs canonized by Pope John Paul II.","Despite being offered freedom if she simply stepped on a cross, she chose death, saying she could never trample upon her Lord."
"St. Kuriakose Elias Chavara","January 3","An Indian Carmelite priest who founded the first indigenous religious congregation for men in India and pioneered education for all castes.","education, Kerala","1805-1871","India","Male","intellectual; leadership; reform; charity; education","Educate the people and they will be transformed.; A school beside every church.; Love is the foundation of all true education.","St. Kuriakose Elias Chavara","January 3","1805-1871","St. Kuriakose Elias Chavara was an Indian priest of the Syro-Malabar Catholic Church who founded the Carmelites of Mary Immaculate, the first indigenous religious congregation for men in India. He established schools in every parish, including for girls and lower castes, and pioneered a Sanskrit school for interfaith dialogue.","He established the first Catholic printing press in Kerala and started one of the earliest Malayalam-language newspapers."
"St. Euphrasia Eluvathingal","August 29","An Indian Carmelite nun known as the 'Praying Mother' for her extraordinary life of contemplative prayer and mystical experiences.","contemplatives, Kerala","1877-1952","India","Female","contemplation; mysticism; devotion; humility; prayer","My only desire is to love God and to be consumed in His love.; Prayer is the breath of the soul.; In silence, God speaks to us.","St. Euphrasia Eluvathingal","August 29","1877-1952","St. Euphrasia Eluvathingal was an Indian Carmelite nun of the Syro-Malabar Church known for her deep mystical prayer life. She spent hours in Eucharistic adoration daily and was sought out by people from all walks of life for her spiritual counsel. She was canonized by Pope Francis in 2014.","She was called 'Evuprasiamma' (Mother Euphrasia) by locals who lined up outside her convent seeking her prayers and counsel."
"St. Devasahayam Pillai","January 14","The first Indian layperson to be canonized, a Hindu convert who was martyred for his faith in 18th-century southern India.","Indian laity, converts","1712-1752","India","Male","courage; conviction; faith; transformation; sacrifice","I have found the truth and I will not abandon it.; My new name means 'God is my help.'; No threat can separate me from the love of Christ.","St. Devasahayam Pillai","January 14","1712-1752","St. Devasahayam Pillai was born Neelakanta Pillai, a high-caste Hindu official in the kingdom of Travancore. After converting to Christianity under the influence of a Dutch naval commander, he faced severe persecution from the royal court. He endured years of imprisonment and torture before being shot and killed, becoming the first Indian layperson to be canonized.","He was canonized by Pope Francis in 2022, nearly 270 years after his martyrdom."
"St. Magdalena of Nagasaki","October 15","A Japanese Augustinian tertiary who was martyred during the brutal persecution of Christians in 17th-century Japan.","Japanese Christians, persecuted women","1611-1634","Japan","Female","courage; faith; endurance; devotion; sacrifice","I am a Christian and I will die a Christian.; My heart belongs to God alone.; No torment can shake my faith.","St. Magdalena of Nagasaki","October 15","1611-1634","St. Magdalena of Nagasaki was the daughter of Japanese Christian martyrs. She became an Augustinian tertiary and served as an interpreter and catechist for missionaries. During the severe Tokugawa persecution, she was arrested and subjected to the torture of tsurushi (being hung upside down over a pit) for 13 days before dying.","Her parents had been martyred when she was a child, and she was raised by Augustinian missionaries before following their path to martyrdom."
"St. Anna Wang","July 9","A 14-year-old Chinese girl martyred during the Boxer Rebellion for refusing to renounce her Christian faith.","Chinese youth, persecuted Christians","1886-1900","China","Female","courage; youth; faith; conviction; sacrifice","The door of heaven is open to all.; I believe in God. I am a Christian. I do not renounce God.; I would rather die than deny my faith.","St. Anna Wang","July 9","1886-1900","St. Anna Wang was a young Chinese Christian girl from Majiazhuang village who was caught up in the Boxer Rebellion's persecution of Christians. When soldiers demanded she renounce her faith, the 14-year-old refused, saying she would rather die. She was beheaded and is among the 120 Martyrs of China canonized by Pope John Paul II.","She reportedly encouraged her mother to remain strong in faith as they were both led to execution, showing remarkable courage for her age."
"St. Kizito","June 3","The youngest of the Uganda Martyrs, killed at approximately 13-14 years old for refusing to renounce Christianity.","children, primary school students","c. 1872-1886","Uganda","Male","courage; youth; faith; innocence; sacrifice","I will go wherever Charles Lwanga goes.; I am a Christian and I will remain a Christian.; Teach me to pray so I can face death.","St. Kizito","June 3","c. 1872-1886","St. Kizito was the youngest of the Uganda Martyrs, a group of Catholic and Anglican converts killed on the orders of King Mwanga II of Buganda. Despite his young age, he refused to renounce his Christian faith. He was baptized by St. Charles Lwanga the night before their execution and was burned alive alongside his companions.","He smiled and laughed as he was led to execution, clinging to the hand of his mentor Charles Lwanga."
"St. Anuarite Nengapeta","December 1","A Congolese religious sister who was martyred for defending her vow of chastity during the Simba Rebellion.","Congo, abuse victims, religious sisters","1939-1964","Congo","Female","courage; purity; faith; sacrifice; conviction","I forgive you because you do not know what you are doing.; I have given myself to God.; Nothing will separate me from my vow to Christ.","St. Anuarite Nengapeta","December 1","1939-1964","St. Anuarite Nengapeta was a Congolese religious sister of the Holy Family who was martyred during the Simba Rebellion. When rebel soldiers attempted to assault her, she resisted and was beaten and stabbed to death. She forgave her attackers before dying, echoing the words of Christ and St. Stephen.","Pope John Paul II beatified her in 1985 during his visit to Zaire, making her the first Congolese person to be beatified."
"St. Mariam Thresia Chiramel","June 8","An Indian mystic and foundress who established the Congregation of the Holy Family to serve the sick and marginalized in Kerala.","families, social workers","1876-1926","India","Female","mysticism; charity; courage; healing; leadership","My God, let me suffer and love.; The family is the foundation of society and the Church.; Serve the poorest with the greatest love.","St. Mariam Thresia Chiramel","June 8","1876-1926","St. Mariam Thresia Chiramel Mankidiyan was an Indian mystic of the Syro-Malabar Church who experienced extraordinary spiritual phenomena from childhood. She founded the Congregation of the Holy Family to serve broken families, the sick, and the dying. Despite facing misunderstanding and opposition, she persevered in her mission.","She was initially accused of being possessed by demons due to her mystical experiences, but was eventually vindicated by Church authorities."
"St. Narcisa de Jesús","August 30","An Ecuadorian laywoman known for her extreme penances, deep prayer life, and mystical experiences.","Ecuador, lay women","1832-1869","Ecuador","Female","devotion; penance; mysticism; humility; charity","My only desire is to love God above all things.; Suffering is the school of love.; I belong entirely to God.","St. Narcisa de Jesús","August 30","1832-1869","St. Narcisa de Jesús Martillo Morán was an Ecuadorian laywoman who lived a life of extraordinary penance and prayer. Though she never joined a religious order, she lived as a consecrated laywoman, spending her days in prayer, fasting, and works of charity. She died in Lima, Peru, at the age of 36.","She is the first canonized laywoman from Ecuador, beatified by Pope Benedict XVI and canonized by Pope Francis."
"St. Roque González","November 17","A Jesuit missionary who founded several of the famous Guaraní Reductions in South America before being martyred.","Paraguay, missionaries","1576-1628","Paraguay","Male","missionary; courage; compassion; leadership; sacrifice","I came to bring the Gospel to the ends of the earth.; These people deserve to know the love of God.; My blood will water the seeds of faith.","St. Roque González","November 17","1576-1628","St. Roque González de Santa Cruz was a Paraguayan Jesuit and one of the first criollo (American-born) priests in South America. He founded several Jesuit Reductions among the Guaraní people, creating self-sustaining communities. He was killed by a shaman who opposed Christian influence.","He was the first saint born in the Americas to be canonized (born in Asunción, Paraguay)."
"St. Laura of Saint Catherine of Siena","October 21","A Colombian foundress who established schools and missions for indigenous and African-descended peoples.","Colombia, indigenous peoples, educators","1874-1949","Colombia","Female","charity; education; courage; compassion; leadership","God has given me the indigenous and the African peoples as my inheritance.; Love makes all burdens light.; Education is the path to dignity.","St. Laura of Saint Catherine of Siena","October 21","1874-1949","St. Laura Montoya Upegui was a Colombian religious sister who founded the Missionary Sisters of Mary Immaculate and St. Catherine of Siena. She dedicated her life to evangelizing and educating indigenous communities in the Colombian jungle, traveling by canoe and mule to reach remote villages.","She was the first Colombian saint, canonized by Pope Francis in 2013."
"St. María de Jesús Sacramentado","July 30","A Mexican foundress who established the Daughters of the Sacred Heart to serve the poor and abandoned.","Mexico, abandoned people","1868-1959","Mexico","Female","charity; devotion; leadership; compassion; perseverance","The Sacred Heart of Jesus is the fountain of all graces.; Serve the poorest with joy.; In every suffering person I see the face of Christ.","St. María de Jesús Sacramentado","July 30","1868-1959","St. María de Jesús Sacramentado Venegas de la Torre was a Mexican religious sister who founded the Daughters of the Sacred Heart of Jesus. She dedicated over 50 years to caring for the sick, poor, and abandoned in Guadalajara. She persevered through the Mexican Revolution and Cristero War.","She was the first Mexican-born woman to be canonized, by Pope Benedict XVI in 2000."
"St. Felipe de Jesús","February 5","A Mexican Franciscan friar who was among the Twenty-Six Martyrs of Japan, crucified in Nagasaki.","Mexico City","1572-1597","Mexico","Male","courage; faith; missionary; sacrifice; transformation","I die happily for Christ.; From Mexico to Japan, God's love knows no borders.; My cross is my glory.","St. Felipe de Jesús","February 5","1572-1597","St. Felipe de Jesús de las Casas was born in Mexico City and became a Franciscan friar. While traveling from the Philippines to Mexico, his ship was blown off course to Japan, where Christians were being persecuted. He was arrested, marched to Nagasaki, and crucified alongside 25 other Christians.","According to legend, a dried fig tree in his family's home miraculously bloomed on the day of his martyrdom."
"St. Walburga","February 25","An Anglo-Saxon missionary nun who helped evangelize Germany and became one of the most venerated saints of the medieval period.","harvests, plague, hydrophobia, sailors","c. 710-779","England/Germany","Female","missionary; education; courage; healing; leadership","Where there is faith, there is light.; Let us carry the Gospel to all peoples.; In service to others, we find our true calling.","St. Walburga","February 25; May 1 (Walpurgis Night)","c. 710-779","St. Walburga was an Anglo-Saxon princess who left England to join her brothers Sts. Willibald and Winebald in their missionary work in Germany. She became abbess of the double monastery of Heidenheim and was renowned for her healing powers and educational work. She is one of the most celebrated women missionaries of the 8th century.","Walpurgis Night (April 30) is named after her, though the festivities associated with it have nothing to do with the saint herself."
"St. Lioba","September 28","An Anglo-Saxon missionary nun who was instrumental in the evangelization of Germany under St. Boniface.","storms, against storms","c. 710-782","England/Germany","Female","intellectual; missionary; leadership; teaching; wisdom","Let us learn from the Scriptures how to live and how to die.; A woman's strength lies in her faith.; Knowledge shared is knowledge multiplied.","St. Lioba","September 28","c. 710-782","St. Lioba was an Anglo-Saxon Benedictine nun who was sent by her relative St. Boniface to help establish the Church in Germany. She became abbess of Tauberbischofsheim and was renowned for her learning, wisdom, and spiritual counsel. She was so respected that Charlemagne's wife sought her company.","She was one of the most learned women of her age, known to read Scripture even while sleeping, and her reputation attracted nobles from across the Frankish Empire."
"St. Gudula","January 8","A Belgian noblewoman who devoted her life to prayer and charity, becoming the patroness of Brussels.","Brussels, Belgium","c. 646-712","Belgium","Female","devotion; charity; humility; prayer; perseverance","Light conquers darkness through faith.; Each day is an offering to God.; In charity, we find our deepest joy.","St. Gudula","January 8","c. 646-712","St. Gudula was a Frankish noblewoman from Brabant who was educated by her cousin, St. Gertrude of Nivelles. She lived a life of extraordinary piety, walking daily from her home to a church two miles away. She is the patron saint of Brussels, and the city's cathedral is named after her.","According to legend, the devil repeatedly blew out her lantern as she walked to church, but she always managed to relight it through prayer."
"St. Rabanus Maurus","February 4","A Carolingian-era Benedictine monk, archbishop, and scholar known as 'the Teacher of Germany' for his encyclopedic works.","scholars, Germany","c. 780-856","Germany","Male","intellectual; teaching; writing; wisdom; leadership","Come, Holy Spirit, Creator blest.; The study of Scripture is the soul's true food.; Teaching is the noblest of all vocations.","St. Rabanus Maurus","February 4","c. 780-856","St. Rabanus Maurus was a Frankish Benedictine monk who became Archbishop of Mainz. He was one of the most important scholars of the Carolingian Renaissance, writing encyclopedias, biblical commentaries, and the famous hymn 'Veni Creator Spiritus.' He earned the title 'Praeceptor Germaniae' (Teacher of Germany).","He is traditionally credited with composing the hymn 'Veni Creator Spiritus,' one of the most famous hymns in Christian history."
"St. Ansgar","February 3","The 'Apostle of the North' who brought Christianity to Scandinavia and served as the first Archbishop of Hamburg-Bremen.","Scandinavia, Denmark, Germany","801-865","Germany/Denmark","Male","missionary; courage; perseverance; leadership; faith","One miracle I would ask of God: that by His grace He would make me a good man.; The harvest is great in the North.; Patience and prayer will convert the most hardened hearts.","St. Ansgar","February 3","801-865","St. Ansgar was a Frankish monk who became the first Archbishop of Hamburg-Bremen and dedicated his life to evangelizing Scandinavia. He established the first Christian churches in Denmark and Sweden, enduring raids, setbacks, and the destruction of his mission by Vikings. Despite these challenges, he persevered in his missionary work.","Despite decades of missionary work, much of his progress was undone by Viking raids, and Scandinavia didn't fully convert until centuries later."
"St. Methodius of Moravia","February 14","Co-creator of the Glagolitic alphabet and Apostle to the Slavs, who translated the Bible and liturgy into Old Church Slavonic.","Slavic peoples, ecumenism, Europe","c. 815-885","Byzantine Empire","Male","intellectual; missionary; linguistic; perseverance; diplomacy","Let every tongue confess that Jesus Christ is Lord.; The Word of God must be proclaimed in every language.; Unity in faith transcends all borders.","St. Methodius of Moravia","February 14; May 11 (with St. Cyril)","c. 815-885","St. Methodius, together with his brother St. Cyril, is known as one of the Apostles to the Slavs. They created the Glagolitic alphabet to translate Scripture and liturgical texts into Old Church Slavonic, making Christianity accessible to Slavic peoples. Despite opposition from Frankish clergy, Methodius defended the use of the Slavonic liturgy until his death.","The Cyrillic alphabet used today by hundreds of millions of people was named after his brother Cyril and developed from their work."
"St. Adelaide of Italy","December 16","A Holy Roman Empress who used her political power for charitable works and the spread of Christianity across Europe.","empresses, abuse victims, widows, second marriages","c. 931-999","Burgundy/Italy","Female","leadership; charity; wisdom; forgiveness; courage","Power is given to serve, not to dominate.; Forgiveness is the crown of all virtues.; In God's service, even an empress must be humble.","St. Adelaide of Italy","December 16","c. 931-999","St. Adelaide was a Burgundian princess who became Holy Roman Empress through her marriage to Otto the Great. She endured imprisonment, political intrigue, and family conflict, yet used her influence to promote monasteries, churches, and charitable institutions across Europe. She spent her final years in prayer and penance.","She was imprisoned in a castle and escaped through underground tunnels before being rescued by Otto the Great, whom she then married."
"St. Matilda of Ringelheim","March 14","A German queen renowned for her generosity to the poor and her founding of monasteries and charitable institutions.","large families, disappointed people, widows","c. 895-968","Germany","Female","charity; motherhood; humility; prayer; forgiveness","The riches of this world mean nothing compared to the treasures of heaven.; A mother's prayers never cease.; Give to the poor and you give to Christ.","St. Matilda of Ringelheim","March 14","c. 895-968","St. Matilda was the wife of King Henry I of Germany (Henry the Fowler) and mother of Emperor Otto the Great. After her husband's death, she devoted her wealth to founding monasteries, convents, and charitable institutions. Despite being criticized by her sons for her generosity, she continued her charitable work throughout her life.","Her own sons tried to strip her of her dowry because they thought she gave too much to the poor."
"St. Margaret of Hungary","January 18","A Hungarian princess who willingly embraced a life of extreme penance and prayer as a Dominican nun.","Hungary, flood prevention","1242-1270","Hungary","Female","devotion; penance; humility; sacrifice; prayer","I would rather die than leave my convent.; My royal blood means nothing next to the Blood of Christ.; In prayer, I find my true kingdom.","St. Margaret of Hungary","January 18","1242-1270","St. Margaret was a daughter of King Béla IV of Hungary who was offered to God as a child in thanksgiving for the country's deliverance from the Mongol invasion. She entered a Dominican convent on an island in the Danube (now Margaret Island, Budapest) and chose to live a life of extreme penance, refusing all offers of marriage from European royalty.","Margaret Island in Budapest, one of the city's most popular parks, is named after her."
"St. Zélie Martin","July 12","Mother of St. Thérèse of Lisieux and a successful businesswoman who raised a family of extraordinary holiness.","mothers, businesswomen, parents","1831-1877","France","Female","motherhood; faith; industry; love; perseverance","I want to become a saint, and for that I must suffer much.; God gave me many children, and I wish to give them all back to Him.; When I sew, I am working for God.","St. Zélie Martin","July 12","1831-1877","St. Zélie Martin (née Guérin) was a French lace-maker and mother of nine children, five of whom became nuns, including St. Thérèse of Lisieux. She ran a successful Alençon lace business while raising her family with deep Catholic devotion. She died of breast cancer at age 45 and was canonized alongside her husband in 2015.","She and her husband Louis are the first married couple to be canonized together in the history of the Catholic Church."
"St. Louis Martin","July 12","Father of St. Thérèse of Lisieux, a watchmaker and devoted father who raised five daughters who all became nuns.","fathers, watchmakers, parents","1823-1894","France","Male","fatherhood; devotion; patience; humility; sacrifice","God has given me many crosses, but He has also given me much grace.; My little queen, I offer you to God.; Everything passes; only God remains.","St. Louis Martin","July 12","1823-1894","St. Louis Martin was a French watchmaker and the father of St. Thérèse of Lisieux. Together with his wife Zélie, he raised five daughters who all entered religious life. After his wife's death, he supported his daughters' vocations with profound faith. He suffered from cerebral arteriosclerosis in his later years, enduring his affliction with great patience.","He originally wanted to become a monk but was turned away because he didn't know Latin."
"St. Dulce Lopes Pontes","August 13","A Brazilian religious sister known as the 'Mother of the Poor' who built hospitals, orphanages, and schools for the destitute.","Brazil, poor people","1914-1992","Brazil","Female","charity; compassion; courage; leadership; perseverance","If there is a problem, there is a solution. If there is no solution, then there is no problem.; I cannot see someone suffering and do nothing.; The poor are my family.","St. Dulce Lopes Pontes","August 13","1914-1992","St. Dulce Lopes Pontes, known as Irmã Dulce, was a Brazilian Franciscan sister who devoted her life to serving the poorest people of Salvador, Bahia. She transformed an abandoned fish market into a hospital, founded schools, orphanages, and health centers. She was nominated for the Nobel Peace Prize and was canonized by Pope Francis in 2019.","She began her charitable work by bringing sick people into the chicken coop of her convent when she had no other space to shelter them."
"St. Nino of Georgia","January 14","The 'Enlightener of Georgia' who brought Christianity to the ancient kingdom of Iberia (modern Georgia) in the 4th century.","Georgia, evangelists","c. 296-338","Cappadocia/Georgia","Female","missionary; courage; faith; healing; perseverance","Christ is the light of all nations.; Through the sign of the cross, I bring hope.; My mission is from God, not from men.","St. Nino of Georgia","January 14","c. 296-338","St. Nino was a young woman from Cappadocia who traveled to the ancient kingdom of Iberia (modern Georgia) as a captive or pilgrim. Through her prayers and miracles, she converted Queen Nana and eventually King Mirian III, leading to the declaration of Christianity as the state religion. She is revered as equal to the apostles in the Georgian Orthodox Church.","She carried a cross made from grapevine branches bound with her own hair, which became the symbol of the Georgian Church."
"St. Notburga","September 14","A Tyrolean peasant servant known for her charity to the poor and her defense of workers' right to rest on Sundays.","servants, peasants, workers, Tyrol","c. 1265-1313","Austria","Female","charity; humility; courage; justice; devotion","Give to the poor what belongs to God.; Even a servant can serve the Lord.; Rest on the Lord's day is sacred.","St. Notburga","September 14","c. 1265-1313","St. Notburga was a Tyrolean kitchen servant who gave leftover food to the poor against her employer's wishes. When fired, she worked for a farmer who agreed to let her attend Mass and rest on Sundays. According to legend, when he reneged on this promise, her sickle floated in the air, proving God's will for Sunday rest.","She is one of the few non-noble women from the Middle Ages to be venerated as a saint, beloved by Alpine farmers to this day."
"St. Boris of Bulgaria","May 2","The Khan and later Tsar of Bulgaria who converted to Christianity and established it as the state religion.","Bulgaria","c. 831-907","Bulgaria","Male","leadership; vision; faith; courage; diplomacy","A nation united in faith is invincible.; I leave my throne for the throne of God.; Christianity is the foundation of our people.","St. Boris of Bulgaria","May 2","c. 831-907","St. Boris I was the ruler of Bulgaria who converted to Christianity around 864 and established it as the state religion. He navigated complex diplomatic relationships between Rome and Constantinople to secure autonomy for the Bulgarian Church. He eventually abdicated and retired to a monastery, but emerged briefly to prevent his son from restoring paganism.","He came out of monastic retirement to blind and depose his own son Vladimir when he tried to restore paganism in Bulgaria."
"St. Teresa of the Andes","July 13","A Chilean Discalced Carmelite nun who died at 19, known for her profound joy and mystical union with God.","young people, sick people, Chile","1900-1920","Chile","Female","joy; devotion; mysticism; youth; love","God is infinite joy.; I am overwhelmed with happiness because I have found God.; To love is to give everything, to give oneself entirely.","St. Teresa of the Andes","July 13","1900-1920","St. Teresa of the Andes, born Juanita Fernández Solar, was a Chilean girl from a wealthy family who entered the Discalced Carmelite convent in Los Andes at age 18. She lived only 11 months as a Carmelite before dying of typhus, but her diary and letters reveal an extraordinary mystical life. She was the first Chilean saint.","She died at 19, making her one of the youngest non-martyred saints in modern times, yet she left behind hundreds of deeply spiritual letters."
"St. Ezequiel Moreno","August 19","A Spanish Augustinian Recollect bishop who served extensively in the Philippines and Colombia, known for his pastoral zeal.","cancer patients","1848-1906","Spain/Colombia","Male","missionary; pastoral; courage; devotion; perseverance","Liberalism is sin.; I die content knowing I lived for God.; Serve the flock entrusted to you with all your heart.","St. Ezequiel Moreno","August 19","1848-1906","St. Ezequiel Moreno was a Spanish Augustinian Recollect who served as a missionary in the Philippines before becoming Bishop of Pasto, Colombia. He was known for his tireless pastoral visitations of remote communities, often traveling by mule through dangerous terrain. He died of cancer and offered his sufferings for his diocese.","He is invoked as patron of cancer patients because he suffered from the disease and offered his pain as a prayer for his people."
"St. Lidwina of Schiedam","April 14","A Dutch mystic who suffered a skating accident at 15 and spent the rest of her life bedridden, offering her suffering for others.","ice skaters, chronic illness sufferers, the disabled","1380-1433","Netherlands","Female","suffering; patience; mysticism; devotion; sacrifice","My suffering is my prayer.; In pain, I find union with Christ on the cross.; Each wound brings me closer to God.","St. Lidwina of Schiedam","April 14","1380-1433","St. Lidwina of Schiedam was a Dutch woman who, at age 15, broke a rib while ice skating and never recovered. For the remaining 38 years of her life, she was bedridden with progressively worsening ailments. She transformed her suffering into a powerful spiritual ministry, experiencing mystical visions and offering her pain for the souls in purgatory.","She is the patron saint of ice skaters because her lifelong suffering began with a skating accident."
"St. Lorenzo Ruiz","September 28","The first Filipino saint, a lay missionary and calligrapher who was martyred in Japan for refusing to renounce Christianity.","Philippines, Filipino migrants, the Chinese-Filipino community","c. 1600-1637","Philippines","Male","courage; faith; missionary; sacrifice; perseverance","I am a Christian, and I will die for God.; Even if I had a thousand lives, I would offer them all to God.; My faith is more precious than my life.","St. Lorenzo Ruiz","September 28","c. 1600-1637","St. Lorenzo Ruiz was a Chinese-Filipino binukot (altar server) and calligrapher from Manila who fled to Japan after being falsely accused of a crime. He was captured during the Tokugawa persecution and subjected to the water torture of tsurushi. He refused to renounce his faith and died a martyr, becoming the first Filipino saint.","He originally fled to Japan to escape criminal charges in Manila, never intending to become a missionary martyr."
